Date,Away,AwayPts,Home,HomePts,Diff
2023-11-14,Prairie View A&M,79,Abilene Christian,74,5
2023-11-19,Fordham,45,Abilene Christian,59,-14
2023-12-02,Stephen F. Austin,79,Abilene Christian,74,5
2023-12-06,Northern Arizona,78,Abilene Christian,76,2
2023-12-10,Howard Payne,69,Abilene Christian,120,-51
2023-12-17,UTEP,82,Abilene Christian,88,-6
2023-11-06,Portland St.,62,Air Force,55,7
2023-11-16,Lindenwood,58,Air Force,76,-18
2023-11-17,William & Mary,71,Air Force,80,-9
2023-11-19,Nebraska Omaha,56,Air Force,58,-2
2023-11-22,VMI,54,Air Force,64,-10
2023-12-09,Eastern Washington,73,Air Force,68,5
2023-12-21,Northern Colorado,83,Air Force,79,4
2023-11-10,Southern Miss,54,Akron,72,-18
2023-11-14,Heidelberg,56,Akron,114,-58
2023-11-19,FIU,71,Akron,77,-6
2023-11-20,Utah St.,65,Akron,62,3
2023-11-21,Drake,79,Akron,59,20
2023-12-05,Bradley,52,Akron,67,-15
2023-12-17,Miami Hamilton,45,Akron,88,-43
2023-12-21,Gardner Webb,90,Akron,94,-4
2023-12-30,St. Bonaventure,62,Akron,61,1
2023-11-06,Morehead St.,73,Alabama,105,-32
2023-11-10,Indiana St.,80,Alabama,102,-22
2023-11-14,South Alabama,46,Alabama,102,-56
2023-11-17,Mercer,67,Alabama,98,-31
2023-11-28,Clemson,85,Alabama,77,8
2023-12-04,Arkansas St.,65,Alabama,89,-24
2023-12-09,Purdue,92,Alabama,86,6
2023-12-23,Eastern Kentucky,67,Alabama,111,-44
2023-12-30,Liberty,56,Alabama,101,-45
2023-11-29,Tennessee St.,83,Alabama A&M,85,-2
2023-12-13,UAB,93,Alabama A&M,82,11
2023-12-16,Chattanooga,88,Alabama A&M,72,16
2023-11-14,Oglethorpe,51,Alabama St.,115,-64
2023-12-03,MUW,60,Alabama St.,80,-20
2023-12-19,USC,79,Alabama St.,59,20
2023-11-21,Army,59,Albany,62,-3
2023-11-29,Boston University,72,Albany,86,-14
2023-12-02,Dartmouth,68,Albany,73,-5
2023-12-05,SUNY Potsdam,59,Albany,98,-39
2023-12-19,Sacred Heart,79,Albany,93,-14
2023-11-08,Xavier LA,62,Alcorn St.,70,-8
2023-11-13,Siena,58,American,78,-20
2023-11-16,NJIT,73,American,87,-14
2023-11-22,Mount St. Mary's,65,American,68,-3
2023-11-26,Hood,74,American,103,-29
2023-12-02,Saint Francis,75,American,73,2
2023-11-07,Oakland City,49,Appalachian St.,87,-38
2023-11-21,UNC Wilmington,56,Appalachian St.,86,-30
2023-11-26,Austin Peay,58,Appalachian St.,78,-20
2023-11-29,East Tennessee St.,61,Appalachian St.,72,-11
2023-12-03,Auburn,64,Appalachian St.,69,-5
2023-12-05,Central Pennsylvania,35,Appalachian St.,111,-76
2023-12-21,UNC Asheville,76,Appalachian St.,63,13
2023-12-30,Louisiana Monroe,55,Appalachian St.,67,-12
2023-11-06,Morgan St.,59,Arizona,122,-63
2023-11-13,Southern,59,Arizona,97,-38
2023-11-17,Belmont,68,Arizona,100,-32
2023-11-19,UT Arlington,56,Arizona,101,-45
2023-11-23,Michigan St.,68,Arizona,74,-6
2023-12-02,Colgate,55,Arizona,82,-27
2023-12-09,Wisconsin,73,Arizona,98,-25
2023-12-20,Alabama,74,Arizona,87,-13
2023-12-23,Florida Atlantic,96,Arizona,95,1
2023-11-11,Texas Southern,52,Arizona St.,63,-11
2023-11-16,UMass Lowell,69,Arizona St.,71,-2
2023-11-23,BYU,77,Arizona St.,49,28
2023-11-24,Vanderbilt,67,Arizona St.,82,-15
2023-11-29,Sam Houston St.,61,Arizona St.,78,-17
2023-12-03,San Francisco,61,Arizona St.,72,-11
2023-12-06,SMU,74,Arizona St.,76,-2
2023-12-20,Northwestern,65,Arizona St.,46,19
2023-11-06,Alcorn St.,59,Arkansas,93,-34
2023-11-10,Gardner Webb,68,Arkansas,86,-18
2023-11-13,Old Dominion,77,Arkansas,86,-9
2023-11-17,UNC Greensboro,78,Arkansas,72,6
2023-11-23,Memphis,84,Arkansas,79,5
2023-11-24,North Carolina,87,Arkansas,72,15
2023-11-29,Duke,75,Arkansas,80,-5
2023-12-04,Furman,83,Arkansas,97,-14
2023-12-16,Lipscomb,66,Arkansas,69,-3
2023-12-21,Abilene Christian,73,Arkansas,83,-10
2023-12-30,UNC Wilmington,90,Arkansas,106,-16
2023-11-09,Champion Christian,73,Arkansas Pine Bluff,116,-43
2023-11-11,Southwestern Christian,68,Arkansas Pine Bluff,112,-44
2023-11-18,Incarnate Word,100,Arkansas Pine Bluff,81,19
2023-11-27,Arkansas Baptist,60,Arkansas Pine Bluff,85,-25
2023-12-18,Ecclesia,75,Arkansas Pine Bluff,125,-50
2023-11-14,Alcorn St.,86,Arkansas St.,100,-14
2023-11-25,UT Rio Grande Valley,58,Arkansas St.,75,-17
2023-11-28,Jackson St.,75,Arkansas St.,71,4
2023-12-09,UAB,68,Arkansas St.,87,-19
2023-11-06,Marist,71,Army,55,16
2023-11-17,Quinnipiac,67,Army,58,9
2023-11-29,Central Connecticut,79,Army,51,28
2023-12-01,SUNY Maritime,39,Army,74,-35
2023-12-05,Le Moyne,51,Army,68,-17
2023-12-17,Stony Brook,78,Army,74,4
2023-12-30,US Merchant Marine,50,Army,58,-8
2023-11-10,Southeastern Louisiana,71,Auburn,86,-15
2023-11-17,St. Bonaventure,60,Auburn,77,-17
2023-11-21,Alabama A&M,54,Auburn,84,-30
2023-11-29,Virginia Tech,57,Auburn,74,-17
2023-12-09,Indiana,76,Auburn,104,-28
2023-12-13,UNC Asheville,62,Auburn,87,-25
2023-12-17,USC,75,Auburn,91,-16
2023-12-22,Alabama St.,62,Auburn,82,-20
2023-12-30,Chattanooga,66,Auburn,101,-35
2023-11-06,Life,72,Austin Peay,90,-18
2023-11-14,Fisk,52,Austin Peay,79,-27
2023-11-20,Tarleton St.,66,Austin Peay,59,7
2023-11-22,Sacramento St.,71,Austin Peay,74,-3
2023-11-29,Morehead St.,61,Austin Peay,50,11
2023-12-05,Midway,44,Austin Peay,98,-54
2023-12-09,Murray St.,49,Austin Peay,53,-4
2023-12-22,Ohio,67,Austin Peay,71,-4
2023-11-06,Houston Christian,63,BYU,110,-47
2023-11-10,San Diego St.,65,BYU,74,-9
2023-11-15,Southeastern Louisiana,48,BYU,105,-57
2023-11-18,Morgan St.,50,BYU,93,-43
2023-11-24,N.C. State,86,BYU,95,-9
2023-12-01,Fresno St.,56,BYU,85,-29
2023-12-05,Evansville,55,BYU,96,-41
2023-12-13,Denver,74,BYU,90,-16
2023-12-16,Georgia St.,54,BYU,86,-32
2023-12-22,Bellarmine,59,BYU,101,-42
2023-12-30,Wyoming,68,BYU,94,-26
2023-11-07,Goshen,40,Ball St.,101,-61
2023-11-11,Old Dominion,68,Ball St.,73,-5
2023-11-14,Oakland City,51,Ball St.,92,-41
2023-11-21,USC Upstate,58,Ball St.,75,-17
2023-11-24,Arkansas Pine Bluff,74,Ball St.,92,-18
2023-12-02,Bellarmine,58,Ball St.,67,-9
2023-12-10,SIU Edwardsville,71,Ball St.,83,-12
2023-12-16,Indiana St.,83,Ball St.,72,11
2023-11-07,Auburn,82,Baylor,88,-6
2023-11-09,John Brown,70,Baylor,96,-26
2023-11-12,Gardner Webb,62,Baylor,77,-15
2023-11-14,UMKC,61,Baylor,99,-38
2023-11-28,Nicholls St.,70,Baylor,108,-38
2023-12-02,Northwestern St.,40,Baylor,91,-51
2023-12-05,Seton Hall,60,Baylor,78,-18
2023-12-22,Mississippi Valley St.,48,Baylor,107,-59
2023-11-20,Morehead St.,64,Bellarmine,51,13
2023-11-21,Midway,56,Bellarmine,77,-21
2023-12-04,Boyce,54,Bellarmine,88,-34
2023-12-07,Berea,59,Bellarmine,98,-39
2023-12-16,Evansville,70,Bellarmine,61,9
2023-11-06,Georgia St.,87,Belmont,89,-2
2023-11-14,Berry,59,Belmont,93,-34
2023-11-24,Monmouth,93,Belmont,84,9
2023-12-02,Valparaiso,68,Belmont,77,-9
2023-12-06,Lipscomb,71,Belmont,72,-1
2023-12-20,Arkansas St.,70,Belmont,74,-4
2023-11-10,Trinity FL,46,Bethune Cookman,113,-67
2023-11-15,Trinity Baptist,63,Bethune Cookman,104,-41
2023-11-20,Charleston Southern,73,Bethune Cookman,79,-6
2023-11-25,Delaware St.,72,Bethune Cookman,64,8
2023-12-01,Incarnate Word,82,Bethune Cookman,96,-14
2023-11-12,Keystone,50,Binghamton,104,-54
2023-11-18,Marist,59,Binghamton,82,-23
2023-11-25,Army,68,Binghamton,75,-7
2023-12-09,Le Moyne,79,Binghamton,91,-12
2023-12-19,Niagara,69,Binghamton,74,-5
2023-12-30,Marywood,52,Binghamton,108,-56
2023-11-07,Vanguard,55,Boise St.,89,-34
2023-11-12,San Francisco,58,Boise St.,63,-5
2023-11-24,VCU,61,Boise St.,65,-4
2023-11-26,Butler,70,Boise St.,56,14
2023-12-01,Saint Mary's,60,Boise St.,63,-3
2023-12-05,North Texas,64,Boise St.,69,-5
2023-12-09,Western Oregon,70,Boise St.,109,-39
2023-12-12,Northwestern St.,54,Boise St.,95,-41
2023-12-17,Cal St. Fullerton,65,Boise St.,88,-23
2023-12-29,Utah Valley,63,Boise St.,85,-22
2023-11-06,Fairfield,70,Boston College,89,-19
2023-11-15,Richmond,61,Boston College,68,-7
2023-11-18,Harvard,64,Boston College,73,-9
2023-12-02,N.C. State,84,Boston College,78,6
2023-12-05,Central Connecticut,68,Boston College,82,-14
2023-12-08,Holy Cross,64,Boston College,95,-31
2023-12-21,Lehigh,69,Boston College,85,-16
2023-11-16,Bryant,79,Boston University,95,-16
2023-11-26,Northern Vermont   Joh,49,Boston University,90,-41
2023-12-06,Maine,74,Boston University,65,9
2023-12-22,UMass Lowell,71,Boston University,63,8
2023-12-30,Merrimack,63,Boston University,74,-11
2023-11-06,Chicago St.,41,Bowling Green,70,-29
2023-11-11,Arkansas St.,75,Bowling Green,81,-6
2023-11-17,Bellarmine,85,Bowling Green,67,18
2023-11-24,Western Kentucky,72,Bowling Green,65,7
2023-11-25,Lipscomb,61,Bowling Green,82,-21
2023-11-26,Canisius,73,Bowling Green,77,-4
2023-12-10,Ohio Dominican,49,Bowling Green,97,-48
2023-12-16,UMKC,69,Bowling Green,79,-10
2023-12-19,Hampton,65,Bowling Green,75,-10
2023-12-22,Siena Heights,58,Bowling Green,79,-21
2023-11-11,Utah St.,66,Bradley,72,-6
2023-11-14,Tarleton St.,63,Bradley,86,-23
2023-11-25,Vermont,70,Bradley,79,-9
2023-12-02,Indiana St.,85,Bradley,77,8
2023-12-15,Cleveland St.,76,Bradley,69,7
2023-12-21,SIU Edwardsville,64,Bradley,75,-11
2023-12-28,Truman St.,47,Bradley,69,-22
2023-11-11,Loyola MD,77,Brown,75,2
2023-11-16,Rhode Island College,51,Brown,92,-41
2023-11-25,UMKC,83,Brown,93,-10
2023-12-01,Bryant,69,Brown,66,3
2023-12-22,Siena,67,Brown,71,-4
2023-11-06,Manhattan,61,Bryant,59,2
2023-11-08,Fisher,79,Bryant,140,-61
2023-11-20,Howard,61,Bryant,67,-6
2023-11-27,Springfield,74,Bryant,108,-34
2023-12-16,Towson,93,Bryant,101,-8
2023-12-22,Drexel,86,Bryant,104,-18
2023-11-06,Delaware,78,Bucknell,57,21
2023-11-20,Southern Indiana,56,Bucknell,67,-11
2023-11-29,Princeton,85,Bucknell,71,14
2023-12-16,Radford,70,Bucknell,63,7
2023-12-30,Saint Peter's,67,Bucknell,58,9
2023-11-06,Fairleigh Dickinson,92,Buffalo,86,6
2023-11-11,South Alabama,70,Buffalo,56,14
2023-11-15,Roberts Wesleyan,83,Buffalo,89,-6
2023-11-20,Hofstra,102,Buffalo,68,34
2023-11-21,Louisiana,68,Buffalo,60,8
2023-11-22,Iona,89,Buffalo,64,25
2023-12-02,St. Bonaventure,80,Buffalo,65,15
2023-12-09,Western Kentucky,82,Buffalo,65,17
2023-12-29,Niagara,69,Buffalo,63,6
2023-11-06,Eastern Michigan,55,Butler,94,-39
2023-11-10,Southeast Missouri St.,56,Butler,91,-35
2023-11-13,East Tennessee St.,47,Butler,81,-34
2023-11-23,Florida Atlantic,91,Butler,86,5
2023-11-24,Penn St.,78,Butler,88,-10
2023-11-30,Texas Tech,95,Butler,103,-8
2023-12-05,Buffalo,59,Butler,72,-13
2023-12-09,California,90,Butler,97,-7
2023-12-15,Saginaw Valley St.,70,Butler,96,-26
2023-12-19,Georgetown,64,Butler,74,-10
